Game,Session,Trial,Phase,Per_final,O1,O2,O3,D1,D2,D3
1,1,1,0,0,0.48888,2.39729,4.06300,7.97774,3.64834,10.34050
1,1,2,0,0,0.52452,5.49237,2.50132,4.41609,15.34415,6.47596
1,1,3,0,0,4.78763,4.88613,4.17486,5.34842,6.25391,7.45099
1,1,4,0,0,0.40516,8.99760,3.34767,3.74542,13.28862,7.82781
1,1,5,0,1,6.38553,5.29413,6.12902,6.40225,7.05068,6.63400
1,1,6,0,1,4.83433,4.01659,9.73582,3.45795,5.71774,9.12322
1,1,7,0,1,10.26750,6.39827,6.02319,5.93568,6.74161,4.44155
1,2,1,0,0,5.13518,6.32472,8.93207,5.56821,6.28513,5.63292
1,2,2,0,1,4.88700,4.64813,4.25119,5.16379,7.83624,11.16167
1,2,3,0,1,6.06020,5.25922,9.00739,4.78111,5.65589,6.26827
1,2,4,0,1,4.99456,6.75043,5.54196,3.71050,9.44915,5.78202
1,2,5,0,0,8.10689,5.79645,5.44123,2.91903,10.26720,5.53200
1,2,6,0,1,4.39927,6.92483,4.97367,5.06581,5.90238,9.97775
1,2,7,0,1,7.16167,3.86339,7.49256,4.31570,8.32318,8.62107
1,3,1,0,1,4.50073,4.56575,6.68197,3.18301,8.96774,5.87123
1,3,2,0,0,3.00983,7.30485,10.20198,5.50768,7.20729,7.73782
1,3,3,0,1,5.75884,3.10354,6.09828,5.50938,10.58922,5.24179
1,3,4,0,1,7.38987,4.90657,6.48991,4.07861,8.51027,5.22818
1,3,5,0,1,5.42853,3.87351,5.87227,6.20021,6.03012,5.71366
1,3,6,0,1,4.37983,5.84013,4.10789,6.81106,9.59406,5.12730
1,3,7,0,1,5.18363,6.27552,6.53637,3.66898,8.69308,9.92789
2,1,1,1,1,8.06732,3.97261,4.80194,6.01522,8.27114,7.05037
2,1,2,1,1,5.48624,6.48838,6.87820,3.73460,6.54723,10.85937
2,1,3,1,0,6.20080,3.79593,2.63139,6.24024,14.70821,5.34367
2,1,4,1,0,4.76456,4.36726,3.69831,9.93904,8.14505,10.41662
2,1,5,1,1,4.91952,6.37359,2.86055,6.96656,8.33196,4.68391
2,1,6,1,0,6.73267,5.28231,5.95658,6.64654,7.30352,5.66303
2,1,7,1,0,3.49243,5.29190,7.94170,5.40398,9.15868,5.11201
2,2,1,1,0,4.53233,7.79359,5.87170,7.26494,6.64981,5.84764
2,2,2,1,0,2.10287,3.39631,7.29320,4.44621,7.61290,11.57779
2,2,3,1,0,9.97036,2.70716,5.90321,5.48433,7.06883,8.10193
2,2,4,1,1,1.54159,6.74333,7.05421,3.17032,8.11830,10.29314
2,2,5,1,0,5.83878,9.92075,5.75001,4.94271,6.19829,4.64230
2,2,6,1,0,0.80536,7.56313,4.65737,3.33222,5.78720,11.42480
2,2,7,1,1,9.02645,6.74000,5.60153,7.09040,7.15360,3.76676
2,3,1,1,0,5.30830,2.64947,2.38096,6.60441,10.40411,7.72199
2,3,2,1,0,8.12203,2.79007,5.00831,8.36539,6.18114,7.16167
2,3,3,1,0,6.81227,7.78063,7.27808,5.58859,6.07526,3.64125
2,3,4,1,0,1.62474,4.58695,5.63657,3.39160,11.25373,10.41026
2,3,5,1,0,6.73661,4.49488,3.87950,6.92275,8.32167,6.32059
2,3,6,1,1,5.30133,8.88023,4.37649,3.65945,5.69043,6.96859
2,3,7,1,1,4.02642,3.78379,5.62278,2.72934,8.73448,10.26297
3,1,1,1,1,5.87410,6.63210,3.89528,5.87606,8.81511,5.04475
3,1,2,1,1,7.17882,4.83833,6.00473,6.51478,5.50542,7.60233
3,1,3,1,1,7.38773,3.27289,5.40625,6.97241,7.34989,5.88989
3,1,4,1,1,7.48459,3.71873,3.50672,6.45311,8.29051,6.36409
3,1,5,1,1,6.95872,2.77126,7.10504,9.48078,7.21290,2.03256
3,1,6,1,1,5.15484,5.69646,6.15016,7.18440,4.85977,6.61890
3,1,7,1,1,8.75973,5.57674,5.87436,6.79967,5.27946,5.33318
3,2,1,1,0,1.77984,2.74924,4.17908,5.69152,5.89651,13.60452
3,2,2,1,0,6.75590,7.91886,5.02348,7.00918,6.08807,3.54908
3,2,3,1,1,3.64391,7.11869,6.43460,3.12676,6.40309,9.25214
3,2,4,1,1,7.82573,3.28747,7.62023,3.08191,5.92125,6.27079
3,2,5,1,1,8.20710,2.87637,7.92130,3.17991,3.99703,9.54771
3,2,6,1,1,1.33453,4.44874,4.89349,4.14462,7.62395,10.81142
3,2,7,1,1,5.67337,4.79494,7.60186,6.10678,5.45890,4.28666
3,3,1,1,1,5.40719,2.93002,8.47989,6.80643,7.24104,7.45629
3,3,2,1,1,5.60697,4.14556,7.82953,5.56406,5.26055,7.49075
3,3,3,1,1,4.31361,8.30127,3.63373,4.75138,9.72940,7.13967
3,3,4,1,0,6.26449,4.56417,7.50062,6.24656,6.80382,6.08077
3,3,5,1,0,6.63892,6.15630,7.45499,2.66433,4.77498,9.44848
3,3,6,1,0,0.87570,3.68207,5.23502,6.96507,9.46793,5.73191
3,3,7,1,1,2.91506,3.50768,8.71149,2.76334,7.53542,8.78872
4,1,1,1,0,2.11281,6.39586,4.20918,6.08704,5.88388,5.93144
4,1,2,1,0,4.00817,4.39668,3.18404,4.18146,11.48567,9.18137
4,1,3,1,1,5.21276,7.18646,4.31983,4.58788,4.98675,7.42931
4,1,4,1,1,7.06295,4.81894,5.81009,4.34046,10.22869,4.58645
