Game,Session,Trial,Phase,Per_final,O1,O2,O3,D1,D2,D3
4,1,5,1,1,7.00943,5.64692,8.09277,2.54859,6.93538,7.44848
4,1,6,1,0,3.84672,4.34880,3.51028,4.85173,7.39071,9.87150
4,1,7,1,1,4.81854,4.32159,5.93468,5.66503,6.84961,9.12070
4,2,1,1,1,4.25913,7.77225,3.90518,6.82788,6.68393,5.97070
4,2,2,1,1,1.32094,8.53252,5.19109,4.46640,5.81221,9.25027
4,2,3,1,1,6.15018,7.97490,8.12561,4.32408,7.96926,4.80162
4,2,4,1,1,5.04175,3.84003,9.79838,5.34542,7.51893,3.32422
4,2,5,1,1,5.88450,5.28828,4.97503,6.54181,5.49472,6.71578
4,2,6,1,1,3.64569,8.44407,4.99271,7.00687,8.92847,4.47143
4,2,7,1,1,4.10196,6.34972,7.34102,4.46732,7.99943,5.82396
4,3,1,1,1,5.74613,5.99807,9.39410,5.68887,3.29641,7.01332
4,3,2,1,1,2.98863,5.16080,5.43161,5.65184,8.05930,6.68327
4,3,3,1,1,3.64337,7.79192,6.86848,3.14740,7.31124,7.66494
4,3,4,1,1,4.18471,6.61819,6.55767,3.99349,8.70715,8.03506
4,3,5,1,1,7.77055,2.93823,8.73958,5.28008,4.33656,5.42739
4,3,6,1,1,5.67593,7.67952,8.30742,5.14911,7.07401,6.02629
4,3,7,1,1,5.95031,6.27863,9.32783,5.80469,4.15420,4.54552
